Title,Genre,Ratings,Voting_counts,Duration
Killer Kabbage,Sci-Fi,N/A,N/A,1h 34m
Metro9,Sci-Fi,N/A,N/A,N/A
Code Geass: Rozé of the Recapture - Part 1,Sci-Fi,7.6, (42),1h 14m
Guacamole Yesterdays,Sci-Fi,8.6, (14),N/A
The Secret of Pin-Up Island,Sci-Fi,7.4, (92),1h 47m
Day of the Clones,Sci-Fi,3.8, (61),1h 38m
Replika,Sci-Fi,5.2, (44),2h 5m
The Box,Sci-Fi,6.3, (8),N/A
Devi Danger,Sci-Fi,N/A,N/A,1h 39m
Astral Plane Drifter,Sci-Fi,8.4, (16),N/A
Mobile Suit Gundam: Silver Phantom,Sci-Fi,6.1, (13),1h 30m
Our Man in L.A.,Sci-Fi,3.8, (123),1h 11m
Seeking the King,Sci-Fi,N/A,N/A,N/A
Soul Traveler (The Feature),Sci-Fi,4.2, (22),1h 36m
Psychopomp,Sci-Fi,N/A,N/A,1h 36m
Traces of Love,Sci-Fi,6.5, (908),1h 45m
The Eye of the Salamander,Sci-Fi,7.9, (20),1h 21m
Andromeda 3,Sci-Fi,3.4, (92),N/A
Nanoshark,Sci-Fi,5.4, (20),N/A
Decibel,Sci-Fi,4.7, (7),N/A
Panic,Sci-Fi,2.2, (22),N/A
Tape 52,Sci-Fi,N/A,N/A,1h 10m
H010N,Sci-Fi,N/A,N/A,N/A
Something in the Dark,Sci-Fi,7.2, (22),1h 27m
Creep Encounters,Sci-Fi,5.9, (65),1h 30m
Mama,Sci-Fi,8.5, (7),1h 40m
War of the Ninja Monsters: Jaron vs Goura,Sci-Fi,N/A,N/A,55m
Transmedium: Fastmovers & USOs,Sci-Fi,6.7, (33),1h 53m
The Human Hibernation,Sci-Fi,6.4, (64),1h 30m
Perspectiva,Sci-Fi,6.1, (97),1h 30m
Abduction: The Harvesting,Sci-Fi,5.4, (12),N/A
Adam i Eva,Sci-Fi,5.1, (94),1h 35m
Four Singles,Sci-Fi,N/A,N/A,1h 3m
ETA,Sci-Fi,N/A,N/A,17m
Inazuma Eleven the Movie: Prologue to the New Heroes,Sci-Fi,N/A,N/A,N/A
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,Sci-Fi,7.0, (9),50m
Spotlight International Film Festival: Best of the Festival - Volume 1,Sci-Fi,8.6, (7),N/A
Jurassic Exorcist,Sci-Fi,3.8, (23),1h 16m
TapewormZ,Sci-Fi,5.0, (23),N/A
Kantil,Sci-Fi,N/A,N/A,2h
Ogiva: O Mundo Não é Mais Nosso,Sci-Fi,5.8, (33),1h 20m
Megalodon Returns,Sci-Fi,3.8, (9),N/A
States of Mind,Sci-Fi,N/A,N/A,2h
Kohinoor,Sci-Fi,8.1, (22),1h 59m
The Spaceman,Sci-Fi,N/A,N/A,1h 25m
Iravin Kangal,Sci-Fi,8.1, (171),1h 56m
Hinter dem Eisernen Horizont,Sci-Fi,7.8, (14),1h 28m
Milestone,Sci-Fi,7.8, (16),1h 28m
False Front,Sci-Fi,N/A,N/A,2h
He Has Gone Rogue - The Return of Cyrus,Sci-Fi,8.8, (32),1h
Estación Wadley,Sci-Fi,N/A,N/A,1h 36m
Sith Wars: Episódio III - Fantasmas Dos Sith,Sci-Fi,8.6, (115),1h 39m
Moon Ghost Returns,Sci-Fi,6.9, (21),N/A
Piraty galaktiki Barrakuda,Sci-Fi,4.5, (82),1h 32m
Fake Out Fray,Sci-Fi,N/A,N/A,1h 6m
ReUniverse,Sci-Fi,N/A,N/A,1h 40m
Alien AI: Abducted,Sci-Fi,3.3, (73),N/A
The Washer,Sci-Fi,7.5, (9),1h 30m
Video Vision,Sci-Fi,5.9, (20),1h 18m
Back to 2005,Sci-Fi,8.3, (45),1h 28m
Slasher House 3,Sci-Fi,4.1, (67),N/A
The Choice,Sci-Fi,9.4, (7),40m
2015: Future Uncertain,Sci-Fi,6.9, (17),1h 12m
Prishelets,Sci-Fi,5.6, (156),1h 13m
Vstretimsya vchera,Sci-Fi,6.4, (343),1h 19m
Abductee,Sci-Fi,N/A,N/A,N/A
Of Mummies and Martians,Sci-Fi,N/A,N/A,N/A
Aberracja,Sci-Fi,N/A,N/A,1h 7m
Adabana,Sci-Fi,6.4, (7),1h 58m
Submerged,Sci-Fi,N/A,N/A,1h 40m
Life with Quincy 3,Sci-Fi,N/A,N/A,1h 13m
Code Geass: Rozé of the Recapture: Part 2,Sci-Fi,7.8, (28),1h 16m
Dead Talk Tales: Volume I,Sci-Fi,6.6, (26),1h 38m
Silent Island: Strange Beasts,Sci-Fi,N/A,N/A,N/A
La Familia del Barrio: La Película,Sci-Fi,4.0, (6),N/A
Sathur,Sci-Fi,7.9, (9),N/A
The Future Soul,Sci-Fi,N/A,N/A,2h 10m
Venus Effect,Sci-Fi,6.0, (19),N/A
Descendent,Sci-Fi,N/A,N/A,N/A
The Truth on Sendai City,Sci-Fi,N/A,N/A,1h 13m
Habitat,Sci-Fi,N/A,N/A,N/A
"The Girl, the Hunter & the Firefly",Sci-Fi,7.3, (19),1h 38m
Heavens: The Boy and His Robot,Sci-Fi,6.3, (22),1h 38m
The Last Man on the World,Sci-Fi,N/A,N/A,1h 10m
Max Beyond,Sci-Fi,6.6, (17),1h 33m
Don't Say Earth,Sci-Fi,3.6, (15),N/A
The Suit,Sci-Fi,4.3, (6),1h 30m
High Strangeness,Sci-Fi,N/A,N/A,N/A
Secret Within the Sphere,Sci-Fi,7.8, (19),1h 13m
Kade,Sci-Fi,6.7, (16),1h 32m
Fragment,Sci-Fi,N/A,N/A,N/A
Shi Ren Yu,Sci-Fi,2.5, (8),1h 11m
Dinonauts,Sci-Fi,N/A,N/A,1h 17m
Nothing is 100%,Sci-Fi,N/A,N/A,N/A
They're Here,Sci-Fi,N/A,N/A,1h 14m
I 20,Sci-Fi,9.0, (494),1h 54m
Behind the Bucket: A Garrison Story,Sci-Fi,8.1, (15),N/A
Quadrant: Noir Version,Sci-Fi,6.5, (11),1h 13m
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,Sci-Fi,N/A,N/A,1h 37m
The Apples Gang: The Movie by Wright,Sci-Fi,N/A,N/A,N/A
Untied,Sci-Fi,8.0, (29),1h 44m
I Watched Her Grow,Sci-Fi,N/A,N/A,1h 7m
The Immortal Wars: Dekay's Paradox,Sci-Fi,N/A,N/A,N/A
Big/Bad/Wolf,Sci-Fi,4.0, (7),N/A
Tomorrow Is Another Dream,Sci-Fi,6.5, (16),1h 20m
Faithless,Sci-Fi,N/A,N/A,N/A
Zombie Apocalypse News,Sci-Fi,N/A,N/A,1h 28m
JEIT,Sci-Fi,N/A,N/A,1h 10m
Astra,Sci-Fi,6.8, (8),1h 20m
The Film Café,Sci-Fi,N/A,N/A,N/A
After the Thunderstorm,Sci-Fi,N/A,N/A,1h 25m
Waning Poetic,Sci-Fi,8.4, (11),1h 33m
Bharatiya Superheroes the Origin,Sci-Fi,8.9, (62),N/A
Doctor Cerebro,Sci-Fi,7.8, (12),N/A
Hidden Memories,Sci-Fi,5.9, (31),1h 24m
The Clearing,Sci-Fi,4.0, (35),N/A
Bragow,Sci-Fi,N/A,N/A,2h
Maddhim,Sci-Fi,9.3, (23),N/A
Deified the Legacy of Yesterday,Sci-Fi,9.4, (24),N/A
Through the Graves the Wind Is Blowing,Sci-Fi,7.1, (70),1h 20m
The Uncertainty Principle,Sci-Fi,7.9, (10),1h 29m
Aliens Uncovered: The Land of Legends,Sci-Fi,8.9, (9),N/A
What Lies Within,Sci-Fi,5.3, (13),1h 30m
Iron Nest of the Moon,Sci-Fi,7.6, (13),1h 10m
Code Geass: Rozé of the Recapture: Part 3,Sci-Fi,7.4, (25),1h 16m
The New Ark,Sci-Fi,N/A,N/A,N/A
Mertsanie,Sci-Fi,5.6, (18),1h 32m
Squelch,Sci-Fi,N/A,N/A,1h 32m
Fragmentos de Olvido,Sci-Fi,N/A,N/A,1h 34m
ARI,Sci-Fi,N/A,N/A,N/A
The Winter Prophecy,Sci-Fi,7.9, (13),52m
Spelonk,Sci-Fi,N/A,N/A,N/A
404.01,Sci-Fi,N/A,N/A,1h 45m
Apocalypse Love,Sci-Fi,N/A,N/A,N/A
Zero Sum Game,Sci-Fi,N/A,N/A,N/A
StarGazer: The Need of the Many,Sci-Fi,5.0, (9),47m
Twenty,Sci-Fi,N/A,N/A,1h 5m
The Bostrom Scenario,Sci-Fi,N/A,N/A,1h 53m
After Link,Sci-Fi,7.5, (20),14m
Gumshoe Jon and the Mystery of the Saucer Men - The Even Better Version,Sci-Fi,N/A,N/A,N/A
A Cápsula,Sci-Fi,7.0, (6),1h 32m
Zegapain STA,Sci-Fi,N/A,N/A,1h 30m
Superman: Jubilation,Sci-Fi,N/A,N/A,2h 56m
Kyle and the Last Emerald 2,Sci-Fi,8.4, (7),15m
Bright Forests,Sci-Fi,N/A,N/A,15m
Man vs Phone,Sci-Fi,N/A,N/A,1h 26m
Aliens Uncovered: The Thunder God,Sci-Fi,8.5, (8),N/A
Best Cop Ever,Sci-Fi,4.3, (49),2h 2m
Los visitados,Sci-Fi,7.6, (5),N/A
True Dark,Sci-Fi,N/A,N/A,N/A
