Title,Genre,Ratings,Voting_counts,Duration
Pui Pui Molcar the Movie: Molmax,Animation,7.0, (9),1h 9m
Peppa Pig: Peppa's Adventures Around the World,Animation,8.0, (7),N/A
Young doctor's notes,Animation,3.5, (6),1h 26m
Nie Xiaoqian,Animation,6.2, (17),1h 52m
Gujeyeog-eseo sal-a dol-aon dwaeji,Animation,5.1, (10),1h 45m
Into the Mortal World,Animation,6.8, (154),1h 58m
Dance with the Finless Promise,Animation,6.6, (19),N/A
Luv You Shankar,Animation,5.8, (44),2h
Animal Tales of Christmas Magic,Animation,6.8, (51),1h 12m
Ya Boy Kongming! Road to Summer Sonia,Animation,7.4, (40),1h 59m
Steal the Naughty List,Animation,6.4, (120),1h 30m
Inazuma Eleven the Movie: Prologue to the New Heroes,Animation,N/A,N/A,N/A
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,Animation,7.0, (9),50m
Ganbatte Ikimasshoi,Animation,5.0, (12),N/A
Gintama on Theater 2D: Kintama-hen,Animation,N/A,N/A,1h 37m
Treasure Fellowship,Animation,N/A,N/A,1h 26m
Hello My Beautiful Creatures,Animation,6.8, (170),2h 22m
Ugly Sweater,Animation,7.1, (13),1h 20m
Piril: Sayilarin Gizemi,Animation,9.0, (67),N/A
Zuzubalândia: O Filme,Animation,5.6, (10),1h
The Delegator,Animation,4.2, (17),1h 36m
Iris the Movie: Full Energy!!,Animation,7.3, (8),1h
Sunburnt Unicorn,Animation,7.7, (13),1h 21m
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,Animation,7.3, (13),59m
Cacophony the Animated Movie,Animation,N/A,N/A,1h 21m
Bizarros Peixes das Fossas Abissais,Animation,8.1, (13),1h 15m
Arne Alligator och djungelkompisarna,Animation,4.6, (48),1h 1m
Life with Quincy 3,Animation,N/A,N/A,1h 13m
Code Geass: Rozé of the Recapture: Part 2,Animation,7.8, (28),1h 16m
La Familia del Barrio: La Película,Animation,4.0, (6),N/A
Day of the Diesels,Animation,7.7, (10),1h 40m
Dante's Divine Comedy,Animation,N/A,N/A,N/A
Max Beyond,Animation,6.6, (17),1h 33m
The Puffins & the Magic Portal,Animation,7.6, (31),N/A
The Ballad of Straw Hat Sam,Animation,9.2, (10),45m
Dinonauts,Animation,N/A,N/A,1h 17m
Penelope & Everly's Holiday Adventure,Animation,N/A,N/A,TV-PG
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,Animation,N/A,N/A,1h 37m
LUDA,Animation,7.2, (6),1h 26m
Balentes,Animation,N/A,N/A,1h 10m
Pleasant Goat and Big Big Wolf: The World Guardians,Animation,7.2, (13),1h 36m
Shed 17 & Project G-1 the Movie,Animation,N/A,N/A,1h 25m
Gintama the Movie 2D: Courtesan of the Nation Arc,Animation,7.8, (6),1h 49m
The Cheshire Cat,Animation,N/A,N/A,1h 4m
Alex and Mia's Awesome Movie!!,Animation,N/A,N/A,1h 15m
Genjitsu no Yohane -Sunshine in the Mirror- Movie,Animation,N/A,N/A,1h 29m
Astra,Animation,6.8, (8),1h 20m
Spider-Man: Blue,Animation,5.9, (12),N/A
Jin Ling Yu Mao,Animation,N/A,N/A,1h 37m
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,Animation,7.7, (12),1h 18m
Code Geass: Rozé of the Recapture: Part 3,Animation,7.4, (25),1h 16m
Thanksgiving in Wonderland,Animation,N/A,N/A,1h 5m
COPS VS WHORES,Animation,N/A,N/A,57m
Apocalypse Love,Animation,N/A,N/A,N/A
Bigfoot in Wonderland,Animation,N/A,N/A,1h 1m
Our Crazy Love,Animation,N/A,N/A,1h 26m
Velký Pán,Animation,7.0, (8),1h 13m
Becho,Animation,7.2, (10),N/A
Elif ve Arkadaslari 2: Perisler,Animation,N/A,N/A,N/A
